epoch,loss,val_loss
0,0.0893976241350174,0.0459623858332634
1,0.029601462185382843,0.017977925017476082
2,0.0120968297123909,0.008075329475104809
3,0.00534569937735796,0.0036134952679276466
4,0.0023241157177835703,0.0015652742004022002
5,0.001002357923425734,0.0007113090832717717
6,0.00046889687655493617,0.00036295404424890876
7,0.00026690890081226826,0.00023755099391564727
8,0.00017673744878266007,0.00015856507525313646
9,0.00012500176671892405,0.00011068271123804152
10,9.420834976481274e-05,8.675097342347726e-05
11,7.262307917699218e-05,7.54103166400455e-05
12,5.718320608139038e-05,5.8290912420488894e-05
13,4.666877430281602e-05,5.130536010256037e-05
14,3.865479084197432e-05,3.811079295701347e-05
15,3.271330933785066e-05,3.302202094346285e-05
16,2.8004566047457047e-05,2.8616535928449593e-05
17,2.444778692733962e-05,2.4791432224446908e-05
18,2.1436993847601116e-05,2.3684480765950866e-05
19,1.9182600226486102e-05,2.0688816221081652e-05
20,1.7389973436365835e-05,1.82519834197592e-05
21,1.563353907840792e-05,1.9721112039405853e-05
22,1.4347617252497002e-05,2.134715032298118e-05
23,1.3200993635109626e-05,1.4537349670717958e-05
24,1.2188915206934325e-05,1.4893576917529572e-05
25,1.1316197742416989e-05,1.3469031728163827e-05
26,1.0598988410492893e-05,1.3737367225985508e-05
27,9.805583431443665e-06,1.1522407476149965e-05
28,9.484185284236446e-06,1.0226097401755396e-05
29,8.689130481798202e-06,1.1151094440720044e-05
30,8.465843166050036e-06,9.387948921357747e-06
31,7.910948625067249e-06,9.83605787041597e-06
32,7.730748620815575e-06,9.481069355388172e-06
33,7.358007678703871e-06,1.0156567441299558e-05
34,7.128374363674084e-06,8.42925874167122e-06
35,6.803349606343545e-06,8.066803275141865e-06
36,6.607665909541538e-06,7.242913397931261e-06
37,6.2656094996782485e-06,7.80734080763068e-06
38,6.233854037418496e-06,7.408191322610946e-06
39,5.907612376176985e-06,7.517530775658088e-06
40,5.862551461177645e-06,6.8813956204394344e-06
41,5.6042717915261164e-06,6.470239895861596e-06
42,5.460711690830067e-06,7.167416697484441e-06
43,5.3165131248533726e-06,5.762584805779625e-06
44,5.220473212830257e-06,6.141754511190811e-06
45,4.936445293424185e-06,6.1316200117289554e-06
46,5.008397693018196e-06,5.395289463194786e-06
47,4.791690571437357e-06,5.320358013705118e-06
48,4.686573447543196e-06,5.406272975960746e-06
49,4.535943844530266e-06,5.052926553616999e-06
50,4.530392288870644e-06,6.121572369011119e-06
51,4.420418008521665e-06,4.483464181248564e-06
52,4.22667972088675e-06,7.022013505775249e-06
53,4.145675120525993e-06,4.680169240600662e-06
54,4.017198989458848e-06,5.6336307352466974e-06
55,3.914178705599625e-06,4.121835900150472e-06
56,3.901034688169602e-06,3.965917130699381e-06
57,3.728047659024014e-06,4.721870027424302e-06
58,3.734120355147752e-06,4.292548965167953e-06
59,3.5970542739960365e-06,4.183381406619446e-06
60,3.486426066956483e-06,4.713892849395052e-06
61,3.3325038657494588e-06,3.92071706301067e-06
62,3.3633687053225003e-06,3.8875841710250825e-06
63,3.251461293984903e-06,4.377957793622045e-06
64,3.1813804071134655e-06,4.904481102130376e-06
65,3.1148329071584158e-06,3.4720123949227855e-06
66,3.0684605007991195e-06,3.260679250161047e-06
67,2.9778414045722457e-06,5.636188234348083e-06
68,2.983833383041201e-06,2.8061126613465603e-06
69,2.8111553547205403e-06,3.098410161328502e-06
70,2.8629458483919734e-06,4.679283847508486e-06
71,2.7707349090633215e-06,3.0625299132225337e-06
72,2.657498271219083e-06,2.8496010600065347e-06
73,2.5844578885880765e-06,2.8824015316786245e-06
74,2.600393600005191e-06,3.3494754916318925e-06
75,2.516312633815687e-06,3.3101327971962746e-06
76,2.424778131171479e-06,3.1674030651629437e-06
77,2.472594587743515e-06,3.4737900023174006e-06
78,2.348700718357577e-06,2.36680307352799e-06
79,2.3659451926505426e-06,2.4709679564693943e-06
80,2.2217191144591197e-06,2.531500058466918e-06
81,2.208101477663149e-06,2.2335086669045268e-06
82,2.261164127048687e-06,2.5624906356824795e-06
83,2.0905908968416043e-06,2.727913397393422e-06
84,2.104315399265033e-06,2.3116060674510663e-06
85,2.0414718164829537e-06,2.4904704787331866e-06
86,2.0553336526063504e-06,2.1952246243017726e-06
87,1.935332193170325e-06,2.403218786639627e-06
88,1.973048711079173e-06,2.486169250914827e-06
89,1.882635842775926e-06,2.883521574403858e-06
90,1.8719271110967384e-06,2.1160906271688873e-06
91,1.8177324818680063e-06,2.3233865249494556e-06
92,1.7353879684378626e-06,1.9918722955480916e-06
93,1.789136945262726e-06,1.6505839539604494e-06
94,1.671817926762742e-06,1.6447891084681032e-06
95,1.702632744127186e-06,1.7448244307161076e-06
96,1.6480245221828227e-06,1.6899172123885364e-06
97,1.621981482458068e-06,1.8432455135553028e-06
98,1.577693751642073e-06,1.6878503856787574e-06
99,1.6039026604630635e-06,1.909801312649506e-06
100,1.4357469808601309e-06,1.5820786529729958e-06
101,1.5073375152496737e-06,2.0835891518800054e-06
102,1.4454118399953586e-06,1.4562111800842104e-06
103,1.4673263422082528e-06,2.4908993054850725e-06
104,1.4308607205748558e-06,1.3434743095785961e-06
105,1.3566555026045535e-06,1.7303301547144656e-06
106,1.3515748378267745e-06,1.3246001344668912e-06
107,1.3235732012617518e-06,1.3798520512864343e-06
108,1.3449268863041652e-06,1.317772444053844e-06
109,1.2992926485821954e-06,1.823897491703974e-06
110,1.2422085546859307e-06,1.3242137129054754e-06
111,1.2258054766789428e-06,1.3104192930768477e-06
112,1.217632870975649e-06,1.3138280792190926e-06
113,1.1861696975756786e-06,1.4721734942213516e-06
114,1.1749785926440381e-06,1.3821684206050122e-06
115,1.1329742619636818e-06,1.0985552307829494e-06
116,1.105648152588401e-06,1.2271779041839181e-06
117,1.1069147376474575e-06,1.099306018659263e-06
118,1.0909373031608993e-06,1.0008458275478915e-06
119,1.0800051768455887e-06,1.0871783615584718e-06
120,1.0598698736430379e-06,1.039968196892005e-06
121,1.0132139323104639e-06,1.034039314617985e-06
122,9.68807739809563e-07,1.1297883020233712e-06
123,9.484717793384334e-07,1.7541075294502662e-06
124,9.765735740074888e-07,1.0000826478062663e-06
125,9.692872708910727e-07,8.072820492088795e-07
126,9.159036835626466e-07,7.529333743150346e-07
127,8.920687264435401e-07,9.373830494041613e-07
128,9.019984759106592e-07,7.696524448874698e-07
129,8.97429970336816e-07,4.135440576646943e-06
130,8.613393447376438e-07,1.0093669970956398e-06
131,8.768088264332619e-07,1.2661076880249311e-06
132,8.083882789833297e-07,6.772451683900726e-07
133,8.245372100645909e-07,1.9234839783166535e-06
134,7.651224223081954e-07,7.931768664093397e-07
135,8.17067473235511e-07,7.547712925770611e-07
136,7.637135013283114e-07,7.372961476903583e-07
137,7.729212825324794e-07,8.964732387539698e-07
138,7.598965794386459e-07,8.293164910355699e-07
139,7.419901635330461e-07,6.97596306054038e-07
140,7.265777526299644e-07,6.075836154195713e-07
141,6.898518449816038e-07,7.001271455919778e-07
142,6.920868713677919e-07,7.21063543096534e-07
143,7.09604364601546e-07,1.0969511095026974e-06
144,6.699086725348025e-07,5.154669224793906e-07
145,6.666107310593361e-07,5.49772437352658e-07
146,6.714788014505757e-07,9.205173796544841e-07
147,6.468774245149689e-07,5.88473938023526e-07
148,6.347879093482334e-07,6.192051955622446e-07
149,6.181679168548726e-07,7.536008297392982e-07
150,6.23513074060611e-07,4.78831282180181e-07
151,6.67273980070604e-07,4.980169592272432e-07
152,5.603791350949905e-07,1.1438249885031837e-06
153,6.149501814434188e-07,6.147940894152271e-07
154,5.937365017416596e-07,3.7742790937045356e-07
155,5.77481955588155e-07,4.310342092139763e-07
156,5.74026614685863e-07,7.905483130343782e-07
157,5.94722166624706e-07,5.290169156069169e-07
158,5.583301003753149e-07,6.534403382829623e-07
159,5.817880150971177e-07,4.1528454630679335e-07
160,5.549990760300716e-07,4.303456648813153e-07
161,5.318527769304637e-07,7.555443062301492e-07
162,5.128605948812037e-07,3.98347282271061e-07
163,5.843101575919718e-07,4.386339753637003e-07
164,5.561086595662346e-07,3.8088282394710404e-07
165,5.336720505511039e-07,8.729696219234029e-07
166,4.93775985432876e-07,3.956305931751558e-07
167,5.395883135861368e-07,4.4670827037407435e-07
168,4.939270183967892e-07,6.203916314007074e-07
169,5.25970733633585e-07,1.3417275113170035e-06
170,5.324297376319009e-07,7.890570259405649e-07
171,5.034700620853982e-07,9.378259164805058e-07
172,4.934979642712278e-07,3.8518720657521044e-07
173,4.6923565832912573e-07,3.814168110238825e-07
174,5.2781172144023e-07,5.462581498250074e-07
175,4.4253604869481933e-07,3.25948604995574e-07
176,4.705320009179559e-07,4.7124214574978396e-07
177,4.7256449420274294e-07,5.829091946907283e-07
178,4.898186034552054e-07,2.820894167143706e-07
179,4.832979243474256e-07,5.409621621765837e-07
180,4.6756463234487455e-07,7.72814871652372e-07
181,4.4907145024808415e-07,3.885642172463122e-07
182,4.388557215406763e-07,2.6779420636557916e-07
183,4.690654122896376e-07,3.685643434891972e-07
184,4.316648585245275e-07,3.275322626450361e-07
185,4.433851756857621e-07,5.968811933598772e-07
186,4.557386148462683e-07,5.580920401371259e-07
187,4.2866045646405837e-07,4.403421201004676e-07
188,4.229919454701303e-07,2.890093639962288e-07
189,4.665501478484657e-07,3.318140500141453e-07
190,4.1723194499354577e-07,4.580717529734102e-07
191,4.210416761907254e-07,3.707009170739184e-07
192,4.177305754637928e-07,5.166737082618056e-07
193,4.1343531620441354e-07,1.0571829989203252e-06
194,4.370135684439447e-07,2.7818711600957613e-07
195,3.927162310901622e-07,3.410692386296432e-07
196,4.119260665902402e-07,1.6218322684835584e-07
197,4.163084668107331e-07,4.5374460455605004e-07
198,3.8335574004122464e-07,3.9854981537246204e-07
199,3.852101713164302e-07,1.473944848839892e-06
200,3.6797686675527075e-07,4.509591633450327e-07
201,3.92628919598792e-07,3.923991584997566e-07
202,3.730234539034427e-07,7.499822913814569e-07
203,4.225547343139624e-07,3.714006311383855e-07
204,3.6664346225734334e-07,5.572106260842702e-07
205,4.2895706542367407e-07,8.174422987394792e-07
206,3.4656068237381987e-07,4.5426307337947947e-07
207,3.83276983484393e-07,4.7445806217183417e-07
208,3.6461980812418915e-07,2.8250664740880893e-07
209,3.8473038443953556e-07,2.628410982197238e-07
210,3.9363359860544733e-07,2.3519349667822098e-07
211,3.6263625702304125e-07,3.3177576597154257e-07
212,3.690238941089774e-07,3.5198820569348754e-07
213,3.401773369660077e-07,2.4738085357967066e-07
214,3.923071005829115e-07,4.2242271547365817e-07
215,3.421605754283519e-07,4.079396944689506e-07
216,3.552853229393804e-07,3.547272058312956e-07
217,3.6183456586513785e-07,1.0222920536762103e-06
218,3.627597777722258e-07,3.580142617920501e-07
219,3.528966203703021e-07,1.8426064229970507e-07
220,3.509443899929465e-07,1.6997599061596702e-07
221,3.383925104571972e-07,2.4651589569657517e-07
222,4.1377381876372965e-07,2.834051713307417e-07
223,3.358418894094939e-07,2.7653862844090327e-07
224,3.67794825706369e-07,2.317554077535533e-07
225,3.5158615219188505e-07,3.535058965553617e-07
226,3.407805593269586e-07,6.878322551528981e-07
227,3.6158536431685206e-07,3.262048551277985e-07
228,3.207057943654945e-07,2.3174507646217535e-07
229,3.0636732617495e-07,2.838628461176995e-07
230,3.6446246554078243e-07,3.1573668479722983e-07
231,3.2173673503166356e-07,5.734094656872912e-07
232,3.4159734241256956e-07,3.290271024525282e-07
233,3.2135270089383994e-07,2.720951499668445e-07
234,3.4643073831830407e-07,2.0076362261534086e-07
